lat,long,x,y,name,genus,species
40 41 23 N,73 58 30 W,40.689722,-73.975,Osage Orange,Maclura,pomifera
40 41 23 N,73 58 30 W,40.689722,-73.975,Pin Oak,Quercus,palustris
40 41 23 N,73 58 30 W,40.689722,-73.975,Eastern White Pine,Pinus,strobus
40 41 23 N,73 58 25 W,40.689722,-73.973611,Magnolia,Magnolia,
40 41 23 N,73 58 25 W,40.689722,-73.973611,Sugar Maple,Acer,saccharum
40 41 25 N,73 58 25 W,40.690278,-73.973611,European Beech,Fagus,sylvatica
40 41 25 N,73 58 26 W,40.690278,-73.973889,English Elm,Ulmus,minor
40 41 32 N,73 58 31 W,40.692222,-73.975278,Maidenhair Tree,Ginkgo,biloba
40 41 33 N,73 58 31 W,40.6925,-73.975278,Northern Red Oak,Quercus,rubra
40 41 32 N,73 58 33 W,40.692222,-73.975833,Black Locust,Robinia,pseudoacacia
40 41 32 N,73 58 33 W,40.692222,-73.975833,Japanese Zelkova,Zelkova,serrata
40 41 32 N,73 58 33 W,40.692222,-73.975833,Honey Locust,Gleditsia,triacanthos
40 41 29 N,73 58 43 W,40.691389,-73.978611,Mulberry,Morus,
40 41 28 N,73 58 30 W,40.691111,-73.975,Goldenrain Tree,Koelreuteria,paniculata
40 41 25 N,73 58 35 W,40.690278,-73.976389,White Ash,Fraxinus,americana
40 41 26 N,73 58 36 W,40.690556,-73.976667,Amur Cork Tree,Phellodendron,amurense
40 41 26 N,73 58 36 W,40.690556,-73.976667,Black Cherry,Prunus,serotina